,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,EFF_PER_GAME
79,202710,80,Jimmy Butler III,1610612744,GSW,51,1612,276,555,0.497,29,98,0.296,291,348,0.836,121,163,284,272,70,17,72,50,872,1107,3.78,0.97,21.705882352941178
80,1631101,81,Shaedon Sharpe,1610612757,POR,71,2217,486,1081,0.45,141,460,0.307,185,232,0.797,66,251,317,193,60,16,145,119,1298,1097,1.33,0.41,15.450704225352112
81,1641739,82,Toumani Camara,1610612757,POR,75,2460,313,678,0.462,128,341,0.375,88,122,0.721,168,266,434,166,112,49,108,224,842,1096,1.54,1.04,14.613333333333333
82,1630530,83,Trey Murphy III,1610612740,NOP,53,1854,381,839,0.454,158,438,0.361,204,230,0.887,47,221,268,188,56,39,103,112,1124,1088,1.82,0.54,20.528301886792452
83,1629656,84,Quentin Grimes,1610612755,PHI,73,1948,377,792,0.476,159,402,0.396,154,204,0.755,57,249,306,217,72,21,135,136,1067,1083,1.61,0.53,14.835616438356164
84,1629661,85,Cameron Johnson,1610612751,BKN,57,1800,355,747,0.475,159,408,0.39,201,225,0.893,54,193,247,194,53,25,99,104,1070,1074,1.96,0.54,18.842105263157894
85,1631097,86,Bennedict Mathurin,1610612754,IND,69,2058,375,810,0.463,95,274,0.347,261,312,0.837,81,287,368,130,44,24,130,155,1106,1056,1.0,0.34,15.304347826086957
86,1631094,87,Paolo Banchero,1610612753,ORL,44,1515,394,870,0.453,83,260,0.319,272,373,0.729,49,282,331,209,36,27,132,92,1143,1037,1.58,0.27,23.568181818181817
87,1630163,88,LaMelo Ball,1610612766,CHA,47,1505,406,1003,0.405,179,528,0.339,193,229,0.843,47,185,232,346,54,13,167,157,1184,1029,2.07,0.32,21.893617021276597
88,1630583,89,Santi Aldama,1610612763,MEM,62,1579,304,629,0.483,114,312,0.365,65,93,0.699,94,312,406,177,48,29,68,71,787,1026,2.6,0.71,16.548387096774192
89,1626181,90,Norman Powell,1610612746,LAC,57,1837,438,902,0.486,173,412,0.42,205,253,0.81,20,161,181,121,71,9,102,106,1254,1022,1.19,0.7,17.92982456140351
90,1626145,91,Tyus Jones,1610612756,PHX,77,2101,292,649,0.45,159,382,0.416,51,57,0.895,40,147,187,418,65,7,89,62,794,1019,4.7,0.73,13.233766233766234
91,1629630,92,Ja Morant,1610612763,MEM,47,1422,373,820,0.455,77,254,0.303,251,303,0.828,29,168,197,344,59,11,177,107,1074,1009,1.94,0.33,21.46808510638298
92,1631109,92,Mark Williams,1610612766,CHA,42,1116,261,424,0.616,0,3,0.0,131,163,0.804,125,303,428,105,29,52,63,101,653,1009,1.67,0.46,24.023809523809526
94,203110,95,Draymond Green,1610612744,GSW,64,1862,205,483,0.424,72,229,0.314,96,141,0.681,71,322,393,362,90,66,164,207,578,1002,2.21,0.55,15.65625
95,1630230,96,Naji Marshall,1610612742,DAL,66,1827,345,678,0.509,56,207,0.271,127,156,0.814,74,245,319,193,68,11,104,105,873,998,1.86,0.65,15.121212121212121
97,1629012,98,Collin Sexton,1610612762,UTA,62,1738,410,853,0.481,110,270,0.407,214,248,0.863,60,111,171,259,45,6,157,141,1144,991,1.65,0.29,15.983870967741936
99,1627824,100,Guerschon Yabusele,1610612755,PHI,70,1895,282,563,0.501,104,274,0.38,100,138,0.725,134,261,395,148,58,24,87,164,768,987,1.7,0.67,14.1
101,1626162,102,Kelly Oubre Jr.,1610612755,PHI,60,2078,348,741,0.47,71,242,0.293,139,185,0.751,97,271,368,108,92,30,80,180,906,985,1.35,1.15,16.416666666666668
102,1641718,102,Keyonte George,1610612762,UTA,64,1996,345,871,0.396,169,485,0.348,222,273,0.813,26,215,241,356,44,9,169,107,1081,985,2.11,0.26,15.390625
103,1629655,104,Daniel Gafford,1610612742,DAL,54,1173,267,383,0.697,0,0,0.0,125,183,0.683,147,221,368,75,22,97,63,145,659,984,1.19,0.35,18.22222222222222
104,203468,105,CJ McCollum,1610612740,NOP,56,1832,444,1000,0.444,171,459,0.373,124,173,0.717,42,170,212,227,46,24,106,124,1183,981,2.14,0.43,17.517857142857142
105,1630170,106,Devin Vassell,1610612759,SAS,62,1931,387,870,0.445,154,415,0.371,95,119,0.798,33,216,249,178,81,33,83,105,1023,974,2.15,0.98,15.709677419354838
106,203471,107,Dennis Schröder,1610612765,DET,73,2050,328,808,0.406,125,366,0.342,179,213,0.84,25,168,193,395,65,12,139,176,960,972,2.84,0.47,13.315068493150685
107,1641744,108,Zach Edey,1610612763,MEM,63,1321,239,416,0.575,18,50,0.36,82,115,0.713,220,284,504,64,32,81,80,171,578,969,0.8,0.4,15.380952380952381
108,203952,109,Andrew Wiggins,1610612748,MIA,58,1791,367,816,0.45,127,338,0.376,193,250,0.772,84,174,258,150,57,49,96,99,1054,966,1.56,0.59,16.655172413793103
109,1629640,110,Keldon Johnson,1610612759,SAS,74,1758,347,730,0.475,85,263,0.323,144,185,0.778,105,243,348,121,48,21,73,111,923,964,1.66,0.66,13.027027027027026
110,1629023,111,P.J. Washington,1610612742,DAL,55,1775,291,645,0.451,86,230,0.374,140,192,0.729,79,350,429,124,60,59,113,130,808,961,1.1,0.53,17.472727272727273
111,1629048,112,Goga Bitadze,1610612753,ORL,67,1360,197,318,0.619,3,25,0.12,78,123,0.634,158,285,443,128,47,95,69,144,475,953,1.85,0.68,14.223880597014926
114,1629631,115,De'Andre Hunter,1610612739,CLE,62,1682,342,728,0.47,152,373,0.408,212,248,0.855,43,201,244,86,45,12,78,152,1048,935,1.1,0.58,15.080645161290322
115,1627832,116,Fred VanVleet,1610612745,HOU,59,2084,282,746,0.378,156,453,0.344,109,134,0.813,32,189,221,330,93,25,84,138,829,925,3.93,1.11,15.677966101694915
118,1629660,119,Ty Jerome,1610612739,CLE,68,1345,303,591,0.513,104,243,0.428,126,145,0.869,49,122,171,226,78,2,88,98,836,918,2.57,0.89,13.5
120,1628976,121,Wendell Carter Jr.,1610612753,ORL,65,1682,215,468,0.459,36,151,0.238,123,166,0.741,146,331,477,129,44,38,70,194,589,911,1.84,0.63,14.015384615384615
121,1630552,122,Jalen Johnson,1610612737,ATL,36,1284,271,542,0.5,44,141,0.312,94,126,0.746,62,297,359,181,56,36,106,67,680,903,1.71,0.53,25.083333333333332
122,1642276,123,Kel'el Ware,1610612748,MIA,61,1351,240,433,0.554,34,107,0.318,46,67,0.687,109,342,451,56,37,67,56,107,560,901,1.0,0.66,14.770491803278688
123,1642259,124,Alex Sarr,1610612764,WAS,63,1715,307,776,0.396,102,324,0.315,104,156,0.667,120,288,408,145,42,96,107,139,820,883,1.35,0.39,14.015873015873016
126,1631106,127,Tari Eason,1610612745,HOU,55,1375,261,536,0.487,61,178,0.343,78,101,0.772,123,227,350,78,95,48,63,133,661,871,1.24,1.51,15.836363636363636
127,1628381,128,John Collins,1610612762,UTA,40,1221,280,531,0.527,59,148,0.399,139,164,0.848,89,238,327,80,39,40,103,116,758,865,0.78,0.38,21.625
128,1641764,129,Brandin Podziemski,1610612744,GSW,60,1588,259,584,0.443,106,288,0.368,65,86,0.756,61,242,303,205,64,12,69,88,689,858,2.97,0.93,14.3
130,201950,129,Jrue Holiday,1610612738,BOS,60,1833,248,558,0.444,106,300,0.353,66,72,0.917,74,185,259,232,63,27,75,98,668,858,3.09,0.84,14.3
131,204001,132,Kristaps Porziņģis,1610612738,BOS,40,1153,264,544,0.485,93,230,0.404,152,187,0.813,67,208,275,82,30,62,51,113,773,856,1.61,0.59,21.4
134,1642270,135,Donovan Clingan,1610612757,POR,64,1245,164,307,0.534,14,46,0.304,58,95,0.611,200,291,491,69,33,105,70,178,400,848,0.99,0.47,13.25
136,1629614,137,Andrew Nembhard,1610612754,IND,62,1807,244,516,0.473,50,167,0.299,106,134,0.791,32,176,208,311,76,11,108,143,644,842,2.88,0.7,13.580645161290322
137,203991,137,Clint Capela,1610612737,ATL,55,1176,218,390,0.559,0,1,0.0,52,97,0.536,174,295,469,62,34,53,47,106,488,842,1.32,0.72,15.309090909090909
138,1630208,139,Nick Richards,1610612756,PHX,56,1236,203,342,0.594,0,2,0.0,119,160,0.744,147,310,457,49,14,54,80,139,525,839,0.61,0.17,14.982142857142858
139,203078,140,Bradley Beal,1610612756,PHX,50,1609,326,656,0.497,92,241,0.382,105,132,0.795,34,136,170,181,56,28,94,131,849,833,1.93,0.6,16.66
140,1629060,140,Rui Hachimura,1610612747,LAL,57,1799,282,558,0.505,98,238,0.412,82,107,0.766,79,209,288,80,44,26,48,101,744,833,1.67,0.92,14.614035087719298
141,1631110,142,Jeremy Sochan,1610612759,SAS,54,1364,251,469,0.535,28,91,0.308,87,125,0.696,127,225,352,128,45,27,84,131,617,829,1.52,0.54,15.351851851851851
145,1629028,146,Deandre Ayton,1610612757,POR,40,1206,265,468,0.566,6,32,0.188,40,60,0.667,124,282,406,64,31,39,69,88,576,824,0.93,0.45,20.6
146,1631095,147,Jabari Smith Jr.,1610612745,HOU,57,1716,248,566,0.438,98,277,0.354,104,126,0.825,105,294,399,60,25,41,61,123,698,822,0.98,0.41,14.421052631578947
150,1641709,151,Ausar Thompson,1610612765,DET,57,1280,242,447,0.541,11,47,0.234,85,134,0.634,110,182,292,132,98,38,79,162,580,807,1.67,1.24,14.157894736842104
151,1641731,152,Bilal Coulibaly,1610612764,WAS,59,1948,263,624,0.421,63,224,0.281,138,185,0.746,91,203,294,199,78,41,125,139,727,806,1.59,0.62,13.661016949152541
152,1626171,153,Bobby Portis,1610612749,MIL,46,1160,258,557,0.463,60,165,0.364,55,67,0.821,83,300,383,102,31,25,56,87,631,805,1.82,0.55,17.5
157,1628374,158,Lauri Markkanen,1610612762,UTA,47,1476,296,700,0.423,138,399,0.346,162,185,0.876,72,206,278,70,33,17,66,79,892,797,1.06,0.5,16.95744680851064
158,1627747,159,Caris LeVert,1610612737,ATL,61,1516,263,566,0.465,100,269,0.372,102,143,0.713,38,152,190,206,55,32,73,91,728,794,2.82,0.75,13.01639344262295
163,201143,164,Al Horford,1610612738,BOS,59,1631,190,451,0.421,111,308,0.36,34,38,0.895,78,280,358,128,35,50,44,80,525,787,2.91,0.8,13.338983050847459
164,203932,165,Aaron Gordon,1610612743,DEN,48,1344,235,445,0.528,71,157,0.452,135,168,0.804,70,162,232,156,20,12,69,79,676,784,2.26,0.29,16.333333333333332
165,1629627,166,Zion Williamson,1610612740,NOP,30,857,288,508,0.567,3,13,0.231,158,241,0.656,76,140,216,159,37,27,90,82,737,783,1.77,0.41,26.1
172,1628978,173,Donte DiVincenzo,1610612750,MIN,58,1502,229,554,0.413,159,409,0.389,49,62,0.79,30,186,216,213,71,16,90,103,666,754,2.37,0.79,13.0
181,202695,182,Kawhi Leonard,1610612746,LAC,34,1052,278,560,0.496,70,173,0.405,87,108,0.806,32,164,196,102,52,17,65,50,713,712,1.57,0.8,20.941176470588236
183,202331,184,Paul George,1610612755,PHI,41,1334,245,570,0.43,96,268,0.358,79,97,0.814,24,195,219,178,75,20,106,101,665,708,1.68,0.71,17.26829268292683
188,1630245,189,Ayo Dosunmu,1610612741,CHI,46,1394,221,449,0.492,62,189,0.328,62,79,0.785,26,135,161,208,43,18,69,105,566,682,3.01,0.62,14.826086956521738
193,1630549,194,Day'Ron Sharpe,1610612751,BKN,50,907,165,317,0.521,11,45,0.244,56,74,0.757,149,181,330,91,41,42,63,113,397,668,1.44,0.65,13.36
201,203994,202,Jusuf Nurkić,1610612766,CHA,48,990,145,309,0.469,30,97,0.309,79,118,0.669,80,294,374,103,36,33,89,120,399,653,1.16,0.4,13.604166666666666
214,1627749,215,Dejounte Murray,1610612740,NOP,31,1012,194,494,0.393,52,174,0.299,102,124,0.823,17,183,200,228,63,12,106,61,542,617,2.15,0.59,19.903225806451612
218,1630228,219,Jonathan Kuminga,1610612744,GSW,44,1088,247,542,0.456,45,143,0.315,148,223,0.664,52,154,206,100,37,20,67,85,687,613,1.49,0.55,13.931818181818182
221,1641726,222,Dereck Lively II,1610612742,DAL,34,800,126,181,0.696,0,0,0.0,46,73,0.63,101,158,259,85,19,56,39,97,298,596,2.18,0.49,17.529411764705884
222,1631096,223,Chet Holmgren,1610612760,OKC,30,822,157,317,0.495,42,111,0.378,87,118,0.737,45,198,243,57,22,69,54,68,443,589,1.06,0.41,19.633333333333333
233,1630193,234,Immanuel Quickley,1610612761,TOR,32,903,181,432,0.419,83,220,0.377,111,128,0.867,15,100,115,190,23,4,58,60,556,562,3.28,0.4,17.5625
237,1630174,238,Aaron Nesmith,1610612754,IND,42,1048,179,352,0.509,79,184,0.429,65,71,0.915,34,128,162,51,33,17,35,106,502,551,1.46,0.94,13.119047619047619
251,203114,252,Khris Middleton,1610612764,WAS,37,843,160,337,0.475,48,133,0.361,72,84,0.857,13,124,137,150,35,8,56,75,440,525,2.68,0.63,14.18918918918919
252,1630591,253,Jalen Suggs,1610612753,ORL,35,1002,197,481,0.41,76,242,0.314,97,110,0.882,23,118,141,129,51,33,102,98,567,522,1.26,0.5,14.914285714285715
265,203903,265,Jordan Clarkson,1610612762,UTA,37,962,201,493,0.408,84,232,0.362,114,143,0.797,25,93,118,138,31,9,86,52,600,489,1.6,0.36,13.216216216216216
272,1631093,273,Jaden Ivey,1610612765,DET,30,898,190,413,0.46,63,154,0.409,85,116,0.733,40,84,124,119,28,11,89,67,528,467,1.34,0.32,15.566666666666666
273,203954,273,Joel Embiid,1610612755,PHI,19,574,140,315,0.444,23,77,0.299,149,169,0.882,36,119,155,85,14,18,62,42,452,467,1.37,0.23,24.57894736842105
274,1641706,275,Brandon Miller,1610612766,CHA,27,924,198,491,0.403,104,293,0.355,68,79,0.861,25,106,131,98,29,20,76,74,568,466,1.29,0.38,17.25925925925926
277,1630560,278,Cam Thomas,1610612751,BKN,25,781,199,454,0.438,68,195,0.349,133,151,0.881,15,68,83,94,15,2,62,44,599,458,1.52,0.24,18.32
287,1629021,288,Moritz Wagner,1610612753,ORL,30,564,140,249,0.562,27,75,0.36,79,110,0.718,40,108,148,42,24,12,49,55,386,423,0.86,0.49,14.1
307,1627742,308,Brandon Ingram,1610612761,TOR,18,595,155,333,0.465,43,115,0.374,47,55,0.855,17,83,100,93,16,11,69,45,400,365,1.35,0.23,20.27777777777778
317,1627763,318,Malcolm Brogdon,1610612764,WAS,24,564,104,240,0.433,16,56,0.286,81,92,0.88,21,70,91,98,13,5,38,30,305,327,2.58,0.34,13.625
365,1629684,366,Grant Williams,1610612766,CHA,16,479,54,123,0.439,27,74,0.365,31,37,0.838,18,64,82,37,18,13,28,46,166,213,1.32,0.64,13.3125
446,1629643,447,Chuma Okeke,1610612739,CLE,7,171,18,33,0.545,10,22,0.455,2,3,0.667,20,23,43,13,5,3,3,5,48,93,4.33,1.67,13.285714285714286
458,1631166,458,Drew Timme,1610612751,BKN,5,125,25,49,0.51,3,15,0.2,5,6,0.833,10,17,27,9,4,1,8,9,58,66,1.13,0.5,13.2
509,1642368,508,N'Faly Dante,1610612745,HOU,1,19,4,6,0.667,0,0,0.0,2,3,0.667,4,5,9,1,0,2,1,4,10,18,1.0,0.0,18.0
